# Tanárok felsorolása
Antonjuk Moána;46
Tószegi Ede;2408
Varik Bettina;2500
Fölpéci Karen;687
Vízhányó Verona;1426
Koppány Rajnald;1235
Pohárnok Zsombor;1836
Jurisics Amand;1051
Szénászki Izor;2214
Abonyi Gotfrid;2
Hegedüs Jelek;909
Kass Ipoly;1119
Radek Hilda;1891
Túri Bendegúz;60
Föld Efraim;682
Wolf Töhötöm;1313
Vasvári Konor;1374
Tamás Alfonz;2316
Vaskapui Krisztián;1531
Kapuszta Patrícius;1098
Lepkovics Robin;1381
Surin János;2136
Abaffy Ménrót;46
Gölöncsér Veréna;798
Csabai Fabríciusz;366
Bormegissza Nasztázia;284
Vásárhelyi Vladimír;1559
Ellyevölgyi Arianna;581
Szekernyés Platon;2200
Rupert Bánk;1977
Tetvesy Brúnó;1820
===
# Osztályok felsorolása
d10a;7. A;46
d09a;8. A;2408
d08a;9. A;2500
d08b;9. B;687
d07a;10. A;1426
d07b;10. B;1235
d06a;11. A;1836
d06b;11. B;1051
d05a;12. A;2214
d05b;12. B;2
===
# Diákok felsorolása
Bogdán Skolasztika;255;d10a
Tengölics Juliána;2355;d10a
Zsengellér Tímea;2655;d10a
Vesztróczi Fláviusz;2550;d10a
Lutter Antal;1429;d10a
Drahovszki Florentina;546;d10a
Eperjesi Antal;591;d10a
Kolek Paulin;1216;d10a
Kecskeméti József;1139;d10a
Gógánfalvi Szergiusz;781;d10a
Pongrátz Bernát;1854;d10a
Acsai Ronalda;7;d10a
Versitz Evica;2544;d10a
Polyvás Benjámin;1852;d10a
Adamik Bagita;9;d10a
Egri Gabriella;567;d10a
Lopes Oszkár;1408;d10a
Kölkedi Illés;1271;d10a
Gorka Tünde;793;d10a
Pécsi Leon;1770;d10a
Köpeczi Bató;1273;d10a
Napkori Csekõ;1630;d10a
Kajtár Tamara;1063;d10a
Szilvásy Relli;2254;d10a
Kányaföldi Manszvét;1082;d10a
Matkovics Dolli;1499;d10a
Péceli Örkény;1768;d10a
Drávucz Fabrícius;547;d10a
Marcis Dezsér;1467;d10a
Tapa János;2324;d10a
Gyarmati Mimi;832;d10a
Pálóczi Hiláriusz;1733;d10a
Devecseri Eliél;504;d10a
Illés Szorina;985;d10a
Mazán Janina;1510;d10a
Habsburg Verona;857;d10a
Gyenes Epifánia;833;d09a
Musztafics Kürt;1603;d09a
Károlyi Melizand;1111;d09a
Progli Karitász;1875;d09a
Kása Tomazina;1117;d09a
Rév Margó;1934;d09a
Szél Kimberli;2202;d09a
Tusán Vulkán;2447;d09a
Vas Ernõ;2509;d09a
Bartus Larcia;145;d09a
Eiler György;572;d09a
Dallos Gáspár;463;d09a
Salm Valentin;2003;d09a
Bakócz Gede;89;d09a
Czeglédi Valér;350;d09a
Maylád Cintia;1508;d09a
Voith Ágnes;2584;d09a
Minóti Mária;1559;d09a
Ungvári Ilus;2460;d09a
Ujvári Ajna;2456;d09a
Miklósi Kasszián;1549;d09a
Kaposi Vazul;1093;d09a
Gyarman Erna;830;d09a
Szalontai Ariella;2165;d09a
Illyés Imre;988;d09a
Beregi Julitta;203;d09a
Bereczky Amadó;201;d09a
Gothoi Margita;796;d09a
Kónya Jákob;1231;d09a
Palatics Jakus;1720;d09a
Grosser Gábriel;817;d09a
Bassa Kurt;148;d09a
Karácson Zebulon;1101;d09a
Zsigmond Karolin;1854;d09a
Magyar Robinzon;1444;d08a
Csengeri Vata;392;d08a
Orosz Tamás;1684;d08a
Steszkál Erzsébet;2123;d08a
Szõllõsi Zágon;2284;d08a
Aczél Vida;5;d08a
Sáska Benjamina;2022;d08a
Schäffer Adna;2030;d08a
Ráckevi Mariella;1887;d08a
Gamási Tercia;735;d08a
Kávásy Ulászló;1132;d08a
Jancsó Manga;1014;d08a
Turkovics Anton;2442;d08a
Kertész Ila;1172;d08a
Albertus Ditte;21;d08a
Bánfi Nóra;110;d08a
Vojnits Aszpázia;1132;d08a
Lukácsy Círus;1426;d08a
Perjés Jób;1793;d08a
Andorkó Barót;30;d08a
Benyó Anasztáz;195;d08a
Bartos Orsolya;142;d08a
Fráter Libériusz;693;d08a
Kopányi Adélia;1233;d08a
Vak Mária;2475;d08a
Hadabás Emiliána;858;d08a
Gali Árisz;732;d08a
Czirkos Móric;361;d08a
Rusz Rubinka;1980;d08a
Lévai Armilla;1386;d08a
Pesty Magdó;1800;d08a
Hámor Lilla;881;d08a
Saas Bagamér;1987;d08a
Endreffy Rexana;585;d08a
Vince Kapisztrán;881;d08b
Bojti Melitta;263;d08b
Ladányi Katarina;1335;d08b
Pantali Aladár;1737;d08b
Tálassy Paulina;2312;d08b
Szató Anzelma;2182;d08b
Porembski Mária;1857;d08b
Kazun Vivianna;1136;d08b
Harnos Pável;896;d08b
Ködmön Katerina;1267;d08b
Rácz Amilla;1888;d08b
Kocsi Alfonzina;1208;d08b
Szász Ainó;2176;d08b
Bónis Arisztid;277;d08b
Nagyváti Horác;1626;d08b
Holló Via;947;d08b
Mermeze Villõ;1529;d08b
Dálnoky Viliam;464;d08b
Kácsor Zelina;1059;d08b
Nedoluha Vata;1634;d08b
Gienger Mikó;772;d08b
Móricz Hirám;1587;d08b
Vitányi Veronika;195;d08b
Várnagy Karsa;2505;d08b
Bonifert Víta;275;d08b
Lökkös Hédi;1415;d08b
Kabai Celesztina;1055;d07a
Stemlerné Muriel;2122;d07a
Balogh Özséb;103;d07a
Boros Aldó;287;d07a
Sagát Sarolta;1990;d07a
Dobóczki Márton;518;d07a
Adorján Bános;10;d07a
Lipskeren Klétus;1396;d07a
Hevesi Margitta;935;d07a
Tompos Szendi;2396;d07a
Brodarics Polla;318;d07a
Idul Liza;980;d07a
Bruck Herald;320;d07a
Bordás Buzád;282;d07a
Káposztás Bernadett;1095;d07a
Pék Lehel;1774;d07a
Lelkes Emese;1374;d07a
Martinkovics Lionel;1490;d07a
Podmaniczky Kemenes;1831;d07a
Mester Dakó;1531;d07a
Garai Ajtonka;736;d07a
Kakuszi Radiszló;1066;d07a
Szemes Ányos;2211;d07a
Yamashita Alpár;1559;d07a
Babitz Izabella;65;d07a
Veresegyházi Amadil;1634;d07a
Markovics Uzon;1477;d07a
Zilai Báruk;1768;d07a
Vrancsik Goldi;2284;d07a
Pálla Tétény;1732;d07a
Toronyai János;2406;d07a
Deregdi Ralf;493;d07a
Tatarek Zöldike;2346;d07a
Binéth Pasztorella;233;d07a
Rozos Adeodát;1966;d07b
Meczner Adala;1511;d07b
Imre Opika;989;d07b
Patócs Kleopátra;1758;d07b
Medla Szenta;1515;d07b
Gavalda Edgár;743;d07b
Szakál Buzád;2153;d07b
Kenéz Bozsóka;1158;d07b
Faddi Leó;620;d07b
Forgách Jusztián;675;d07b
Érsek Oktávia;604;d07b
Rök Ofélia;1970;d07b
Mátyás Esztellia;1504;d07b
Sohonyai Celesztin;2094;d07b
Benczik Ciprienn;187;d07b
Kaszap Lauretta;1121;d07b
Bátai Fabiána;150;d07b
Tátrai Fatime;2347;d07b
Mónus Pálma;1583;d07b
Boga Irnik;254;d07b
Sztricska Paszkál;2293;d07b
Ágai Jónás;12;d07b
Plachy Tas;1826;d07b
Hegyi Noella;913;d07b
Porkoláb Indira;1858;d07b
Mádi Dagobert;1438;d07b
Gera Katarina;759;d07b
Maitinsky Kornélia;1447;d06a
Bádonyi Ella;74;d06a
Mocsáry Alfonza;1565;d06a
Danku Elin;470;d06a
Siklósi Ignácia;2066;d06a
Gray Vid;809;d06a
Polgári Erneszt;1846;d06a
Janó Eija;1018;d06a
Lukács Kandida;1424;d06a
Vicsotka Roxán;2182;d06a
Lóczi Ursula;1405;d06a
Rosner Györke;1962;d06a
Kas Ildikó;1116;d06a
Zõd Palmira;1273;d06a
Kunai Evelin;1313;d06a
Regéczi Apol;1919;d06a
Matos Mihály;1502;d06a
Éva Derzs;614;d06a
Pálfi Ferdinánd;1725;d06a
Szula Hadúr;2294;d06a
Berkó Agapion;213;d06a
Badár Koppány;71;d06a
Sehr Jamina;2051;d06a
Tót Emil;2409;d06a
Moldván Iringó;1577;d06a
Vizi Rodrigó;1132;d06a
Pfeiffer Lestár;1817;d06a
Jóny Gerõ;1043;d06a
Baráth Péter;127;d06a
Ashaber Ladomér;60;d06a
Visegrádi Jusztina;913;d06a
Pálfai Nikolasz;1722;d06a
Matyelka Kelen;1505;d06a
Egenhoffer Bojtorján;565;d06a
Huber Gécsa;966;d06a
Solymár Anett;2097;d06a
Fiáth Poppea;656;d06b
Garay Klarisz;738;d06b
Tillai Bátor;2373;d06b
Czirják Perpétua;359;d06b
Szép Bernarda;2228;d06b
Matolay Szamanta;1501;d06b
Zanati Vajta;1117;d06b
Bús Uzor;336;d06b
Szokolai Salómé;2271;d06b
Piros Florentina;1823;d06b
Laukó Kármán;1359;d06b
Csákor Mária;374;d06b
Bódy Edbert;253;d06b
Perus Estilla;1795;d06b
Piti Kisó;1824;d06b
Szécsényi Bacsó;2191;d06b
Tárca Szofrónia;2328;d06b
Õze Marinusz;1711;d06b
Herceg Kálmán;925;d06b
Bretz Kiara;316;d06b
Fel Naómi;638;d06b
István Teónia;998;d06b
Geder Metód;750;d06b
Porció Ders;1856;d06b
Kiszely Maxim;1194;d06b
Csiba Veronika;410;d06b
Dunai Gyöngyvirág;553;d06b
Szini Tas;2256;d06b
Milák Kajetán;1554;d06b
Vili Norma;1987;d05a
Ficsóri Oresztész;657;d05a
Braun Gerõ;315;d05a
Iványi Móric;1004;d05a
Gulyás Erika;823;d05a
Erõs Lujza;603;d05a
Tõcs André;316;d05a
Hraskó László;964;d05a
Pénzes Polixénia;1784;d05a
Csirkó Üllõ;429;d05a
Ungnád Joáhim;1962;d05a
Kisbán Juliska;1186;d05a
Csigi Teri;413;d05a
Zsombó Samu;1888;d05a
Peringer Olívia;1792;d05a
Csehák Holda;387;d05a
Manassze Gyöngyvér;1463;d05a
Makula Rózabella;1460;d05a
Mihályi Veron;1544;d05a
Papdi Reginald;1742;d05a
Pénzelik Aranka;1783;d05a
Benkõ Hont;194;d05a
Szomor Etelka;2278;d05a
Lajta Hippolita;1340;d05a
Vedrédi Ernesztin;318;d05a
Szûcs Csendike;2301;d05a
Tanos Zille;2323;d05a
Bihari Lionel;230;d05a
Frideczky Elõd;695;d05a
Cseh Deniel;386;d05b
Varsányi Zétény;1634;d05b
Zilahi Madlen;547;d05b
Elõházi János;580;d05b
Trubiánszki Azár;386;d05b
Vlocskó Jósiás;21;d05b
Gedeon Koren;749;d05b
Blahunka Sebõ;240;d05b
Kalchev Zsuzsa;1067;d05b
Szélesi Inez;2207;d05b
Pilinszki Orsika;1820;d05b
Cseri Sándor;401;d05b
Tánczos Adalbert;2321;d05b
Kormányos Rézi;1241;d05b
Gellér Karsa;754;d05b
Szepcsik Morgan;2229;d05b
Csombók Zsaklin;440;d05b
Vállas Galamb;187;d05b
Batthyány Becse;155;d05b
Muk Vidor;1595;d05b
Kunsági Áfra;1315;d05b
Halper Alajos;878;d05b
Lantos Jeremiás;1350;d05b
Verebélyi Baltazár;1587;d05b
Ferencz Hedda;650;d05b
Dinu Kabos;511;d05b
